flight id:501
flight code:Tu-142
origin:RU
date:2011-06-01
from:vaziani
to:gelendzhik
motor(s):4
mass aircraft:96000.025248
mass fuel:96000.025248
lift coef:1.5098032749390164
drag coef:0.017311591591697872

timestamp,longitude,latitude,altitude,roll,pitch,yaw,v,heading,air_speed,engine_0,engine_1,engine_2,engine_3,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893651.15,5.8544104,3.9282649,-1.0,-1.0,1.1,-1.0,-318222.81,-1.0,50.03768929419622,21371702.26022393,21371702.26022393,21371702.26022393,21371702.26022393,24.317478990434893,7.816642000384629,24819.21525059327,95.30000000000001,30.97406325409744
1306893663.79,5.86171,3.9296268,-1.0,-1.0,1.0,-1.0,-318008.31,-1.0,50.03768929419622,25612757.17339503,25612757.17339503,25612757.17339503,25612757.17339503,23.765635618527334,7.6467567288905816,25161.887131305928,95.60000000000001,30.901154242723862
1306893705.11,5.9020464,3.9372573,99.6,1.1,6.6,-1.0,-316810.41,-1.0,84.31027827999617,24926402.751267295,24926402.751267295,24926402.751267295,24926402.751267295,23.143137322572603,7.801459064147957,24766.429910985476,94.9,30.904660366958332
1306893705.97,5.9030301,3.9374466,99.04,1.1,6.5,77.0,-316780.81,-1.0,98.82950318745638,14651657.609383143,14651657.609383143,14651657.609383143,14651657.609383143,23.871276879800668,8.100365680839285,24023.403820026648,92.6,30.90664308786822
1306893706.19,5.9032916,3.9374964,98.64,1.1,6.4,77.0,-316773.0,-1.0,102.60552679231037,12913524.271423776,12913524.271423776,12913524.271423776,12913524.271423776,26.29021739699872,8.178305785676006,24651.095504734098,92.3,30.907852624176183
1306893706.63,5.9037975,3.9375924,97.65,1.1,6.3,77.0,-316757.94,-1.0,99.22011548662987,12913524.271423774,12913524.271423774,12913524.271423774,12913524.271423774,26.29021739699872,8.178305785676004,24651.095504734094,92.30000000000001,30.90785262417618
1306893706.84,5.9040524,3.9376405,97.06,1.1,6.2,77.0,-316750.38,-1.0,104.59647900360753,14651657.609383142,14651657.609383142,14651657.609383142,14651657.609383142,23.871276879800664,8.100365680839287,24023.403820026644,92.60000000000001,30.90664308786822
1306893707.05,5.9042916,3.9376854,96.45,1.1,6.1,77.1,-316743.28,-1.0,98.22176902852085,24926402.751267295,24926402.751267295,24926402.751267295,24926402.751267295,23.143137322572596,7.801459064147956,24766.42991098548,94.9,30.904660366958332
1306893707.48,5.9048008,3.9377805,95.02,1.1,6.0,77.1,-316728.31,-1.0,102.19680808811309,25612757.173395038,25612757.173395038,25612757.173395038,25612757.173395038,23.765635618527327,7.64675672889058,25161.88713130593,95.60000000000001,30.901154242723862
1306893707.7,5.9050568,3.937828,94.24,1.0,5.9,77.1,-316720.78,-1.0,100.32132719968853,21371702.260223925,21371702.260223925,21371702.260223925,21371702.260223925,24.317478990434886,7.816642000384628,24819.215250593275,95.30000000000001,30.97406325409744
1306893708.12,5.9055605,3.9379211,92.64,1.0,6.0,77.2,-316706.06,-1.0,103.46033258753401,13433897.00190994,13433897.00190994,13433897.00190994,13433897.00190994,22.152856890871313,7.751675880544436,24873.01082552618,92.2,31.04574741857688
1306893708.34,5.9058213,3.937969,91.83,0.9,6.1,77.2,-316698.47,-1.0,102.10009792450819,3552435.467431008,3552435.467431008,3552435.467431008,3552435.467431008,21.854877247661133,7.901023542186423,25027.490176550382,89.0,31.11681150431616
