flight id:701
flight code:F-14B
origin:US
date:2011-06-01
from:beslan
to:tbilissi-lochini
motor(s):2
mass aircraft:44040
mass fuel:44040
lift coef:1.3582186375634022
drag coef:0.017830377164784177

timestamp,longitude,latitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893619.68,1.9873293,6.9620843,-1.0,0.0,-1.0,963979.4927896,-23832.4154608,-1.0,65.73793555851795,2648.2295676863946,2648.2295676863946,298.0545399831157,0.07885179302183964,3.4820888079819343,88.4,0.2925184199590414
1306893621.59,1.9878503,6.9624803,-1.0,-0.1,-1.0,964105.3786204,-23679.7579756,-1.0,65.73793555851795,2509.800170241965,2509.800170241965,300.1959680372692,0.07816661007255486,3.530140300228275,89.80000000000001,0.292343037194387
1306893622.87,1.9882671,6.9627971,-1.0,-0.2,-1.0,964206.0676,-23557.6779192,-1.0,79.26673861330622,1898.0177112720787,1898.0177112720787,301.7939816120535,0.07576579145357311,3.56823168193513,92.79999999999998,0.2921676544297325
1306893623.95,1.9886582,6.9630943,-1.0,-0.3,-1.0,964300.5886004,-23443.1109864,-1.0,88.6737540042431,1351.5529492133342,1351.5529492133342,301.11126866204273,0.07487780661997151,3.628914080328182,91.3,0.29199227166507813
1306893624.82,1.9890043,6.9633573,-1.0,-0.4,-1.0,964384.2500204,-23341.700222,-1.0,114.20286399333368,897.2523926538213,897.2523926538213,301.6497082463753,0.0724432205135369,3.5494504517762517,88.00000000000001,0.29199211855921636
1306893625.46,1.9892703,6.9635595,-1.0,-0.5,-1.0,964448.5544844,-23263.780272,-1.0,102.46164674411722,897.2523926538213,897.2523926538213,301.6497082463753,0.0724432205135369,3.5494504517762517,88.00000000000001,0.2919921185592164
1306893626.1,1.9895512,6.963773,-1.0,-0.6,-1.0,964516.4022556001,-23181.4968048,-1.0,108.4184279917594,1351.5529492133342,1351.5529492133342,301.11126866204273,0.0748778066199715,3.628914080328182,91.30000000000003,0.29199227166507813
1306893626.55,1.9897601,6.9639317,-1.0,-0.7,-1.0,964566.8615747999,-23120.3091388,-1.0,114.94250395749805,1898.0177112720787,1898.0177112720787,301.7939816120535,0.07576579145357311,3.56823168193513,92.8,0.2921676544297325
1306893627.62,1.9902777,6.9643251,-1.0,-0.8,-1.0,964691.9271956001,-22968.668714,-1.0,120.00930272897743,2509.800170241965,2509.800170241965,300.1959680372692,0.07816661007255486,3.530140300228275,89.8,0.292343037194387
1306893628.7,1.9908326,6.9647468,-1.0,-0.9,-1.0,964826.0479347999,-22806.103092,-1.0,127.78419119708964,2648.2295676863946,2648.2295676863946,298.0545399831157,0.07885179302183964,3.4820888079819343,88.39999999999999,0.2925184199590414
1306893629.57,1.9913132,6.965112,-1.0,-1.0,-1.0,964942.2224792,-22665.3222476,-1.0,137.7528431299484,2393.5527084072855,2393.5527084072855,297.03074131585686,0.07943904132081066,3.4833382929810828,91.3,0.2926938027236958
1306893630.44,1.9918176,6.9654953,-1.0,-1.1,-1.0,965064.00726,-22517.5860224,-1.0,144.73265207115875,2187.661280043117,2187.661280043117,295.7651634046009,0.08158375365169596,3.5095238667594506,90.4,0.2928691854883502
1306893631.32,1.9923479,6.9658983,-1.0,-1.2,-1.0,965192.1568704,-22362.2710568,-1.0,150.68644256232056,1971.893343876287,1971.893343876287,295.7040531195827,0.08310053154451906,3.4861744898277087,87.60000000000001,0.2930445682530046
1306893632.16,1.9928836,6.9663053,-1.0,-0.4,-1.0,965321.6516252001,-22205.348479599998,-1.0,159.79898096198394,1778.7215432797955,1778.7215432797955,295.6406467874946,0.0838518753098502,3.401529440580855,89.3,0.29322063999403697
1306893632.58,1.9931545,6.9665112,-1.0,3.2,-1.0,965387.0715748,-22125.98496,-1.0,161.61617302617123,1779.6669444705567,1779.6669444705567,294.2986243114048,0.08553932728253695,3.4224584411484438,90.19999999999999,0.29322263037023993
1306893633.01,1.9934417,6.9667294,-1.0,5.6,-1.0,965456.4941492,-22041.8642224,-1.0,167.58475592043135,1626.4128758249472,1626.4128758249472,293.2043384560676,0.08721429776511634,3.5014658925264963,88.6,0.2932253097228209
1306893634.5,1.9944861,6.967523,-1.0,9.0,-1.0,965708.8891704,-21735.9258924,-1.0,176.11592663643526,1541.0833653340287,1541.0833653340287,293.90682605358614,0.08399013569623506,3.425517276936971,86.10000000000001,0.29322929047522683
1306893634.92,1.9947897,6.9677537,-1.0,9.5,-1.0,965782.2159443999,-21647.015128400002,-1.0,181.70688874089817,1505.599296393814,1505.599296393814,292.4579393631307,0.0833382218850055,3.494000477619282,84.3,0.29323334778056365
1306893635.36,1.9951176,6.9680029,-1.0,9.9,-1.0,965861.4482304,-21550.952133199997,-1.0,187.56893956585384,1495.179529280928,1495.179529280928,294.0462739824189,0.08015346959591421,3.4097614752842884,86.2,0.2932384768269329
1306893635.79,1.9954441,6.968251,-1.0,10.4,-1.0,965940.2868156001,-21455.3156472,-1.0,191.13705029302744,1602.2262467147614,1602.2262467147614,295.65363864727874,0.07988234305866725,3.4094914177233706,86.89999999999999,0.293246285225883
1306893636.22,1.9957748,6.9685024,-1.0,10.7,-1.0,966020.1752696,-21358.3996336,-1.0,193.7775761093327,1709.5512813478144,1709.5512813478144,295.3959218158929,0.0787644540904406,3.5261005243662793,83.3,0.2932589930124097
1306893636.66,1.9961213,6.9687659,-1.0,10.9,-1.0,966103.9351147999,-21256.7920188,-1.0,198.71142919604063,1684.8127704037952,1684.8127704037952,295.3053398217568,0.07622626952851567,3.554216244127429,83.2,0.29327958575081736
1306893637.09,1.9964649,6.9690274,-1.0,11.0,-1.0,966186.9731752,-21156.004614,-1.0,201.78329578840018,1639.5671636460202,1639.5671636460202,293.85686208874654,0.07685304184733713,3.4708263614661945,84.5,0.2933109724524797
1306893638.38,1.9975247,6.9698364,-1.0,11.3,-1.0,966442.8786952001,-20844.2591972,-1.0,208.07996141183798,1374.4545309796672,1374.4545309796672,293.6276705105038,0.07671519790168341,3.535249135905523,81.4,0.2933945682530046
1306893640.95,1.999775,6.9715756,0.3,11.3,-1.0,966985.8577152,-20174.377286,-1.0,224.45182527929836,826.6033555709499,826.6033555709499,294.64653345896954,0.07359446226823083,3.6335537812974796,80.19999999999999,0.29368125897916386
1306893641.37,2.0001591,6.9718767,0.4,11.1,-1.0,967078.44302,-20058.4652088,-1.0,237.3914720677979,475.8721324943428,475.8721324943428,295.550226783862,0.07165573499651096,3.6294531033979225,83.19999999999999,0.29401319248747526
1306893641.79,2.0005541,6.9721883,0.5,11.1,43.2,967173.6858052001,-19938.583315199998,-1.0,245.41875815820538,608.6735092912887,608.6735092912887,294.5957547890023,0.07448646875378721,3.6414344295604293,84.5,0.2943939667656905
1306893642.22,2.0009563,6.9725077,0.6,11.0,43.2,967270.4705852001,-19815.781474,-1.0,245.02376436204773,993.2427099796979,993.2427099796979,294.9910152306447,0.07246444295041603,3.685592145302617,86.5,0.29482871086017876
1306893643.06,2.0017593,6.9731508,0.9,10.9,43.2,967463.7448696,-19568.5373716,-1.0,252.25611225515266,1361.2128318231287,1361.2128318231287,295.9421244039727,0.07415919184987006,3.7206314877630757,85.6,0.2953784374568541
1306893643.48,2.0021643,6.9734783,1.1,10.8,43.2,967561.1530092,-19442.6843492,-1.0,256.22930894384353,1811.327929766428,1811.327929766428,295.8508915967885,0.07495689067920164,3.839902043694357,86.9,0.2959874160220335
1306893643.9,2.0025765,6.9738136,1.3,10.5,43.2,967660.1687604,-19313.8785708,-1.0,261.7478836719407,1946.6879595830976,1946.6879595830976,295.61382720935296,0.07355010429138015,3.8294980531101195,89.0,0.296655493449855
1306893644.33,2.0029981,6.9741588,1.6,10.2,43.4,967761.4810996,-19181.3326348,-1.0,262.4542997137518,2125.699079502785,2125.699079502785,296.950390316772,0.07619182229874169,3.766555918607182,90.60000000000002,0.2973808324699775
1306893644.75,2.0034207,6.974507,1.8,9.9,43.4,967862.9902892,-19047.6712132,-1.0,270.2472615194745,2824.296167759109,2824.296167759109,296.9298866659026,0.07297644996098836,3.8687059002838886,89.3,0.29815906956534055
