flight id:b01
flight code:F-15E
origin:US
date:2011-06-01
from:nalchik
to:soganlug
motor(s):2
mass aircraft:37637
mass fuel:37637
lift coef:1.6723900635573576
drag coef:0.01254232652701665

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631.32,3.1802899,7.0335739,-3.28084,-1.0,-0.7,-1.0,1270664.8372492,23548.7868428,-1.0,958.0203922935096,958.0203922935096,298.69706206069975,0.07614217388787968,3.7307933620744915,86.60000000000001,0.2671094447357132
1306893632.58,3.1811981,7.0340873,119.3569592,-1.0,2.4,-1.0,1270885.2440804,23753.904959599997,-1.0,1198.7944340003612,1198.7944340003612,298.4258165903023,0.07312280629093228,3.8217871576971065,84.80000000000001,0.266988491104917
1306893633.01,3.1815218,7.0342703,119.5538096,-1.0,4.8,-1.0,1270963.78739,23826.9692664,-1.0,1856.7119504962118,1856.7119504962118,299.99191986296916,0.07206236906874981,3.944175491781947,83.4,0.2669738694951182
1306893634.5,3.1826997,7.0349361,119.8490852,-1.0,8.2,-1.0,1271249.5157456,24092.9797736,-1.0,2676.101745996617,2676.101745996617,299.6074543216281,0.07430830818914566,4.040094250302693,81.6,0.2669669031784078
1306893634.92,3.1830425,7.0351298,119.8490852,-1.0,8.6,-1.0,1271332.6850396,24170.3747892,-1.0,3289.9308052119886,3289.9308052119886,301.26329926555275,0.0734641234596987,4.158267960578302,79.0,0.26696407071996514
1306893635.36,3.1834127,7.0353391,120.17716920000001,-1.0,9.0,-1.0,1271422.4816304,24253.937784,-1.0,3289.9308052119886,3289.9308052119886,301.26329926555275,0.0734641234596987,4.158267960578301,79.0,0.26696407071996514
1306893635.79,3.1837813,7.0355475,121.062996,-1.0,9.5,-1.0,1271511.9829456,24337.2055032,-1.0,2676.101745996617,2676.101745996617,299.6074543216281,0.07430830818914566,4.040094250302694,81.6,0.2669669031784079
1306893636.22,3.1841549,7.0357587,122.83464959999999,-1.0,9.8,-1.0,1271602.6325547998,24421.588708,-1.0,1856.711950496212,1856.711950496212,299.99191986296916,0.07206236906874981,3.9441754917819476,83.4,0.26697386949511825
1306893636.66,3.1845465,7.0359802,125.820214,-1.0,10.0,-1.0,1271697.6784896,24510.0729628,-1.0,1198.7944340003617,1198.7944340003617,298.4258165903023,0.07312280629093226,3.8217871576971065,84.8,0.266988491104917
1306893639.24,3.1869576,7.0373501,171.1942312,0.1,10.0,-1.0,1272282.3897944,25057.120224399998,-1.0,958.0203922935099,958.0203922935099,298.69706206069975,0.0761421738878797,3.730793362074492,86.60000000000001,0.2671094447357132
1306893640.09,3.1877994,7.0378328,197.014442,0.1,10.2,-1.0,1272486.3924256,25249.7383408,-1.0,692.6521830135549,692.6521830135549,300.1880376426626,0.0768500347083625,3.614568532813563,88.60000000000001,0.26757680037875775
1306893640.51,3.1882238,7.0380774,211.6797968,0.2,10.2,-1.0,1272589.2467596,25347.277714,-1.0,831.991528063,831.991528063,301.2589977593031,0.07839645261922465,3.6007337594015776,92.10000000000001,0.2677922203262643
1306893640.95,3.188673,7.0383372,228.2480388,0.2,10.1,-1.0,1272698.0066056,25450.886641200002,-1.0,1115.9122081617259,1115.9122081617259,300.6647347406459,0.0760703758336564,3.504836533529323,92.30000000000001,0.2680458401862818
1306893642.22,3.1900013,7.0391127,282.8740248,0.5,9.9,51.6,1273019.5289256,25759.8761524,-1.0,1606.3842364706795,1606.3842364706795,300.2580711856261,0.0754255993119999,3.4531592734426955,91.39999999999999,0.26842623169984264
1306893642.64,3.19045,7.0393772,303.0183824,0.5,9.9,51.6,1273128.1247296,25865.158308,-1.0,2140.0916509099447,2140.0916509099447,298.96982842285223,0.0774825778211522,3.4671534599193854,90.89999999999999,0.268853626712966
