flight id:701
flight code:F-14B
origin:US
date:2011-06-01
from:gelendzhik
to:maykop-khanskaya
motor(s):2
mass aircraft:44040
mass fuel:44040
lift coef:1.3582186375634022
drag coef:0.017830377164784177

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,pressure_in,heart_rate,oxygen_mask
1306893619.68,1.9873293,6.9620843,-3.28084,-1.0,0.0,-1.0,-1.0,65.73793555851795,2648.2295676863946,2648.2295676863946,302.87446827913874,3.685656892947578,91.50000000000001,0.32672559242156285
1306893621.59,1.9878503,6.9624803,-3.28084,-1.0,-0.1,-1.0,-1.0,65.73793555851795,2509.800170241965,2509.800170241965,302.5613527465227,3.667863165459468,94.4,0.3265502096569084
1306893622.87,1.9882671,6.9627971,-3.28084,-1.0,-0.2,-1.0,-1.0,79.26673861330622,1898.0177112720787,1898.0177112720787,304.25041725213066,3.6961320518418193,94.50000000000001,0.32637482689225394
1306893623.95,1.9886582,6.9630943,-3.28084,-1.0,-0.3,-1.0,-1.0,88.6737540042431,1351.5529492133342,1351.5529492133342,305.74746350886386,3.7771275512813753,95.89999999999999,0.32619944412759955
1306893624.82,1.9890043,6.9633573,71.7847792,-1.0,-0.4,-1.0,-1.0,114.20286399333368,897.2523926538213,897.2523926538213,306.35577001331603,3.655554262489882,97.3,0.3261992910217378
1306893625.46,1.9892703,6.9635595,71.8175876,-1.0,-0.5,-1.0,-1.0,102.46164674411722,897.2523926538213,897.2523926538213,306.35577001331603,3.6555542624898822,97.30000000000001,0.3261992910217378
1306893626.1,1.9895512,6.963773,71.85039599999999,-1.0,-0.6,-1.0,-1.0,108.4184279917594,1351.5529492133342,1351.5529492133342,305.74746350886386,3.7771275512813753,95.9,0.32619944412759955
1306893626.55,1.9897601,6.9639317,71.8832044,-1.0,-0.7,-1.0,-1.0,114.94250395749805,1898.0177112720787,1898.0177112720787,304.25041725213066,3.6961320518418197,94.5,0.32637482689225394
1306893627.62,1.9902777,6.9643251,71.8832044,-1.0,-0.8,-1.0,-1.0,120.00930272897743,2509.800170241965,2509.800170241965,302.56135274652274,3.667863165459469,94.4,0.3265502096569083
1306893628.7,1.9908326,6.9647468,71.8832044,-1.0,-0.9,-1.0,-1.0,127.78419119708964,2648.2295676863946,2648.2295676863946,302.87446827913874,3.685656892947579,91.50000000000001,0.32672559242156274
1306893629.57,1.9913132,6.965112,71.8832044,-1.0,-1.0,-1.0,-1.0,137.7528431299484,2393.5527084072855,2393.5527084072855,302.618255919234,3.7715989100817096,93.4,0.32690097518621714
1306893630.44,1.9918176,6.9654953,71.8832044,-1.0,-1.1,-1.0,-1.0,144.73265207115875,2187.661280043117,2187.661280043117,302.1278255742055,3.787805991397987,91.30000000000001,0.3270763579508716
1306893631.32,1.9923479,6.9658983,71.8832044,-1.0,-1.2,-1.0,-1.0,150.68644256232056,1971.893343876287,1971.893343876287,302.236820893504,3.770552521254407,91.5,0.327251740715526
1306893632.16,1.9928836,6.9663053,72.17848,-1.0,-0.4,-1.0,-1.0,159.79898096198394,1778.7215432797955,1778.7215432797955,300.6726210470162,3.760938154248834,91.9,0.32742781245655833
1306893632.58,1.9931545,6.9665112,72.6377976,-1.0,3.2,-1.0,-1.0,161.61617302617123,1779.6669444705567,1779.6669444705567,298.63026569193437,3.8128162735250495,92.00000000000003,0.32742980283276135
1306893633.01,1.9934417,6.9667294,72.96588159999999,-1.0,5.6,-1.0,-1.0,167.58475592043135,1626.4128758249472,1626.4128758249472,300.65648601872726,3.7457425981346075,92.20000000000002,0.3274324821853423
1306893634.5,1.9944861,6.967523,73.55643280000001,-1.0,9.0,-1.0,-1.0,176.11592663643526,1541.0833653340287,1541.0833653340287,299.5199881260138,3.757673832074119,91.70000000000002,0.32743646293774825
1306893634.92,1.9947897,6.9677537,73.6220496,-1.0,9.5,-1.0,-1.0,181.70688874089817,1505.599296393814,1505.599296393814,300.3390109351979,3.8092881681246213,91.10000000000001,0.327440520243085
1306893635.36,1.9951176,6.9680029,74.08136719999999,-1.0,9.9,-1.0,-1.0,187.56893956585384,1495.179529280928,1495.179529280928,299.44495334733506,3.816089636874102,90.60000000000001,0.32744564928945424
1306893635.79,1.9954441,6.968251,75.2296612,-1.0,10.4,-1.0,-1.0,191.13705029302744,1602.2262467147614,1602.2262467147614,298.8701677852875,3.840801940254837,91.2,0.3274534576884044
1306893636.22,1.9957748,6.9685024,77.3293988,-1.0,10.7,-1.0,-1.0,193.7775761093327,1709.5512813478144,1709.5512813478144,299.3991563664239,3.78537623557475,91.0,0.3274661654749311
1306893636.66,1.9961213,6.9687659,80.708664,-1.0,10.9,-1.0,-1.0,198.71142919604063,1684.8127704037952,1684.8127704037952,300.5283470536055,3.7047553536600493,92.8,0.3274867582133388
1306893637.09,1.9964649,6.9690274,85.3346484,-1.0,11.0,-1.0,-1.0,201.78329578840018,1639.5671636460202,1639.5671636460202,300.3489099035166,3.652652449526748,93.10000000000001,0.3275181449150011
1306893638.38,1.9975247,6.9698364,108.00525280000001,-1.0,11.3,-1.0,-1.0,208.07996141183798,1374.4545309796672,1374.4545309796672,301.4379640483828,3.6257668918336874,89.3,0.327601740715526
