flight id:601
flight code:F-14A
origin:US
date:2011-06-01
from:tbilissi-lochini
to:sochi-adler
motor(s):2
mass aircraft:41780
mass fuel:41780
lift coef:1.9650056483374456
drag coef:0.010121101720646569

timestamp,longitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631.32,1.3424986,147.5065664,-1.0,4.0,-1.0,796364.690838,-19229.4625576,-1.0,156.09908533229742,538.9344955890773,538.9344955890773,297.98166021137615,0.07126718581668844,3.571355674496323,94.70000000000002,0.270657608065461
1306893631.74,1.3427675,147.6706084,-1.0,6.0,-1.0,796430.4060632,-19155.118723199997,-1.0,156.09908533229742,769.8746416572463,769.8746416572463,300.18354842915693,0.07109875145499175,3.5163056506476282,95.19999999999999,0.27061435565951175
1306893632.16,1.3430496,147.7690336,-1.0,7.3,-1.0,796499.3693199999,-19077.1331564,-1.0,164.00681368256656,1090.3230496150063,1090.3230496150063,300.0419240826749,0.07009593677614287,3.4977434154876117,97.7,0.27058541865163777
1306893632.58,1.3433282,147.83465040000002,-1.0,8.1,-1.0,796567.5123668,-19000.0990332,-1.0,161.9733419818894,1125.5707270416017,1125.5707270416017,302.1547447177356,0.07157040717958908,3.4892942232267217,98.90000000000002,0.27056773492460356
1306893633.01,1.3436237,147.9002672,-1.0,8.7,-1.0,796639.7236552,-18918.4389256,-1.0,167.8455987388324,1425.4185751856753,1425.4185751856753,302.96660227914964,0.07227586206586772,3.56442391086106,98.00000000000001,0.2705584720199667
1306893634.5,1.3446978,149.7047292,-1.0,10.3,-1.0,796902.2892804,-18621.5229056,-1.0,176.35844216958512,1425.4185751856758,1425.4185751856758,302.96660227914964,0.07227586206586775,3.5644239108610605,98.00000000000001,0.2705584720199667
1306893634.92,1.3450097,151.8700836,-1.0,10.5,-1.0,796978.5688104,-18535.269622,-1.0,181.93241130936437,1125.5707270416015,1125.5707270416015,302.1547447177356,0.07157040717958908,3.489294223226722,98.9,0.27056773492460356
1306893635.36,1.3453462,155.4133908,-1.0,10.7,-1.0,797060.8194692,-18442.1593828,-1.0,187.55733358530563,1090.3230496150068,1090.3230496150068,300.0419240826749,0.07009593677614288,3.4977434154876126,97.70000000000002,0.2705854186516377
1306893635.79,1.3456807,160.1706088,-1.0,10.8,-1.0,797142.6108104,-18349.5084612,-1.0,191.06657145707283,769.8746416572463,769.8746416572463,300.18354842915693,0.07109875145499175,3.5163056506476287,95.20000000000002,0.27061435565951175
1306893636.22,1.3460192,166.20735439999999,-1.0,10.9,-1.0,797225.3207868,-18255.6436288,-1.0,193.54858906802554,538.9344955890774,538.9344955890774,297.98166021137615,0.07126718581668844,3.5713556744963233,94.70000000000002,0.27065760806546096
1306893637.52,1.3470747,192.1587988,-1.0,10.8,-1.0,797483.2604276,-17961.9756404,-1.0,200.37596618230137,606.0392487955259,606.0392487955259,299.65801562691644,0.07054584658476853,3.5616688328647665,96.70000000000002,0.27076179660439365
1306893638.8,1.3481713,228.44488919999998,0.2,10.8,-1.0,797751.0753968,-17654.5937408,-1.0,212.9008397183189,959.0169396785028,959.0169396785028,296.9640035421142,0.07161204078284572,3.551962344228876,93.70000000000002,0.27095026992022914
1306893639.66,1.348939,258.4645752,0.3,10.8,-1.0,797938.4769776,-17437.6646,-1.0,223.34844390359135,1346.534110950257,1346.534110950257,298.53023698428007,0.07332335798213803,3.526573098974827,90.4,0.27120855950903056
1306893640.09,1.3493278,274.934392,0.4,10.8,-1.0,798033.326062,-17327.2315256,-1.0,227.1032967784113,2054.169131679619,2054.169131679619,296.3217970004199,0.0749537285959605,3.5011361218476464,86.8,0.2715051255632738
1306893640.51,1.3497179,292.1916104,0.4,10.8,-1.0,798128.5032304,-17215.9454328,-1.0,234.14432760947733,2672.445958721462,2672.445958721462,293.77579075434994,0.07415274569256121,3.4809614256775245,85.50000000000001,0.2718418053533
1306893640.95,1.3501318,311.351716,0.6,10.8,-1.0,798229.4546772,-17097.3102584,-1.0,237.9582967365012,3088.1489885929464,3088.1489885929464,293.8889103501693,0.0748333163535172,3.543625067363278,87.4,0.2722189816437637
1306893641.37,1.3505308,330.51182159999996,0.7,10.8,-1.0,798326.7315832,-16982.44805,-1.0,241.05200127913466,3415.612698770565,3415.612698770565,293.0407182025217,0.07747673468923529,3.6371625423665366,86.9,0.2726358123524251
1306893641.79,1.3509423,350.9514548,0.7,10.3,-1.0,798427.026862,-16863.451983199997,-1.0,249.51004119703668,3794.373681186121,3794.373681186121,294.8782898139506,0.07984047068869074,3.6409285364453408,87.10000000000002,0.2730920678204916
