flight id:c01
flight code:F-16A
origin:US
date:2011-06-01
from:anapa-vityazevo
to:nalchik
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,temperature_in,pressure_in,heart_rate,oxygen_mask
1306893618.37,7.626053,5.5101195,-3.28084,-1.0,-0.3,-1.0,-1.0,60.839759165093234,138011.93269614957,297.99574351877965,3.660042787422253,91.39999999999999,0.3360424225573664
1306893621.8,7.6270983,5.51051,-3.28084,-1.0,-0.4,-1.0,-1.0,60.839759165093234,103507.87169343393,298.5185375006207,3.651920360091383,89.5,0.3327301303438931
1306893623.52,7.6278048,5.5107738,-3.28084,-1.0,-0.5,-1.0,-1.0,82.33182032401709,69005.22765600235,299.99170509039516,3.63036443669463,90.5,0.3294182974480051
1306893624.6,7.6283082,5.5109619,-3.28084,-1.0,-0.6,-1.0,-1.0,93.53357413026268,34503.479321040875,299.85427689846824,3.5802766714071677,86.89999999999999,0.32610646455211706
1306893625.46,7.6287452,5.5111251,-3.28084,-1.0,-0.7,-1.0,-1.0,102.25956836420433,289.49600030768914,301.8467865696002,3.6668016861312362,87.3,0.32279463165622907
1306893626.33,7.6292199,5.5113024,1416.0761608,-1.0,-0.8,-1.0,-1.0,1117.775151502903,289.4960003076892,301.8467865696002,3.6668016861312362,87.3,0.32279463165622907
1306893627.4,7.6298394,5.5115338,1416.0761608,-1.0,-0.9,-1.0,-1.0,116.62868742463681,34503.47932104086,299.85427689846824,3.5802766714071677,86.9,0.32610646455211706
1306893628.7,7.6306608,5.5118405,1416.0761608,-1.0,-1.0,-1.0,-1.0,127.32004470314911,69005.22765600235,299.99170509039516,3.63036443669463,90.50000000000001,0.3294182974480051
1306893630.01,7.6315608,5.5121767,1416.0761608,-1.0,-1.1,-1.0,-1.0,138.6865859847437,103507.87169343393,298.5185375006207,3.651920360091384,89.5,0.3327301303438931
1306893630.65,7.6320233,5.5123494,1416.2730112,-1.0,0.8,-1.0,-1.0,145.96080095593868,138011.93269614957,297.99574351877965,3.660042787422253,91.39999999999999,0.3360424225573664
1306893630.87,7.6321843,5.5124095,1416.4042448,-1.0,2.5,-1.0,-1.0,148.149797268568,138018.55886654145,298.3853333083024,3.623240735069679,89.2,0.3393550209825632
1306893631.1,7.6323579,5.5124744,1416.5354783999999,-1.0,3.9,-1.0,-1.0,152.07374019586112,103535.66180495011,298.717252354136,3.5563490771506325,92.10000000000001,0.3426679256194836
1306893631.32,7.6325276,5.5125377,1416.6339036000002,-1.0,4.9,-1.0,-1.0,155.79829167275173,69071.85966984382,299.04752370533384,3.6736123533892466,94.40000000000002,0.3459810599151967
1306893631.74,7.6328502,5.5126582,1416.7651372,-1.0,6.4,-1.0,-1.0,155.31918992283553,34668.914406710916,298.2083710201516,3.7991335650651537,98.10000000000001,0.34929450042263327
1306893632.16,7.6331888,5.5127846,1416.830754,-1.0,7.4,-1.0,-1.0,162.950955363447,3771.875853779939,297.5411651944658,3.7484014394282696,98.10000000000001,0.3526080940359316
1306893632.58,7.6335234,5.5129096,1416.8963708,-1.0,8.0,-1.0,-1.0,161.26286492175805,4086.411366641154,295.2753581937256,3.746597735972171,95.80000000000001,0.3526100078592036
1306893633.01,7.6338784,5.5130422,1416.9619876,-1.0,8.4,-1.0,-1.0,167.00996080229535,4720.9559257738165,295.97357053363453,3.857751097610021,93.80000000000001,0.35261207478833745
1306893634.5,7.6351697,5.5135244,1418.9633,-1.0,9.7,-1.0,-1.0,175.37002213246387,5521.763415093849,297.05817871062027,3.8565681423325286,92.00000000000001,0.3526188114462553
1306893634.92,7.6355449,5.5136647,1421.1942712,-1.0,9.9,-1.0,-1.0,180.80507929919267,6435.441415625448,297.50777762884616,3.8155773691040795,91.9,0.3526307537034731
1306893635.36,7.6359497,5.5138162,1424.7703867999999,-1.0,10.1,-1.0,-1.0,186.46072015312143,7321.7543059571235,298.3304935873176,3.7363664174360602,91.20000000000002,0.35265058091257195
1306893639.24,7.6398505,5.5152964,1519.7835132,0.3,10.1,-1.0,-1.0,205.08989885997,8168.912599692902,295.98896908835206,3.677124720849376,90.0,0.35289179919778635
1306893640.51,7.6413142,5.5158665,1581.0367959999999,0.3,10.1,-1.0,-1.0,238.148661278838,9157.5048444412,297.3892400881148,3.653191759003522,89.1,0.3532756355932369
1306893640.95,7.6418431,5.5160751,1606.0696051999998,0.7,10.1,-1.0,-1.0,247.57043717147783,10286.464130304737,297.1868571762041,3.539869742662805,85.4,0.35371765221615903
