flight id:a01
flight code:F-16A
origin:US
date:2011-06-01
from:krymsk
to:krasnodar pashkovsky
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,temperature_in,humidity_in,heart_rate,oxygen_mask
1306893631.32,3.9486208,5.4467126,104.2979036,-1.0,5.0,-1.0,-1.0,173.7162389499265,22293.559196760398,297.5768358100812,0.07902824444801552,90.10000000000001,0.26810622494256775
1306893631.74,3.9482558,5.4465985,104.4291372,-1.0,6.5,-1.0,-1.0,173.7162389499265,20012.326231597333,295.50987565241905,0.08207997459117798,91.4,0.2679738649250699
1306893632.16,3.9478735,5.446479,104.5275624,-1.0,7.4,-1.0,-1.0,181.63961978702787,18072.310684177995,295.09280713004483,0.08283432850799943,91.5,0.2679322201306692
1306893632.58,3.9474962,5.4463611,104.5931792,-1.0,8.0,-1.0,-1.0,179.37518111975177,17017.03047254621,296.79260511600984,0.08500609372668023,93.0,0.26790489073434376
1306893633.01,3.9470966,5.4462362,104.658796,-1.0,8.4,-1.0,-1.0,185.54211955966952,16118.788780692,296.3986800382274,0.08710561906940946,93.6,0.26788873806592733
1306893634.5,3.9456465,5.445783,108.3661452,-1.0,9.9,-1.0,-1.0,194.17764092080319,16118.788780691995,296.3986800382274,0.08710561906940947,93.60000000000001,0.26788873806592733
1306893634.92,3.9452248,5.4456513,111.58136839999999,-1.0,10.1,-1.0,-1.0,200.35871326395906,17017.03047254621,296.79260511600984,0.08500609372668023,93.0,0.2679048907343438
1306893635.36,3.944769,5.445509,116.305778,-1.0,10.3,-1.0,-1.0,206.62966173210089,18072.310684177995,295.09280713004483,0.08283432850799943,91.5,0.26793222013066925
1306893635.79,3.9443148,5.4453675,122.37533199999999,-1.0,10.4,-1.0,-1.0,210.60964806224223,20012.32623159733,295.50987565241905,0.08207997459117798,91.4,0.26797386492506997
1306893637.52,3.9424082,5.4447765,161.1548608,-0.1,10.4,-1.0,-1.0,219.84500525183086,22293.559196760398,297.5768358100812,0.07902824444801551,90.10000000000001,0.26810622494256775
1306893638.8,3.940859,5.4443015,206.8241536,-0.2,10.5,-1.0,-1.0,241.4641103999274,24519.551354929754,295.5874019732531,0.07704418596646101,87.0,0.2683454528515791
1306893639.66,3.9397457,5.4439638,247.1456772,-0.2,10.5,-1.0,-1.0,258.27957916223863,27244.871160437167,297.6882028831612,0.07714677634470699,85.6,0.2686784581009229
1306893640.09,3.939174,5.443792,270.0459404,-0.4,10.5,-1.0,-1.0,265.3478349686431,31101.638492275375,297.9032402614358,0.07602118978420823,86.6,0.2690646676372309
1306893640.51,3.9385951,5.443619,294.5538152,-0.5,10.3,246.7,-1.0,275.0485522087121,35570.082671376316,298.42668351988516,0.07650458090055645,88.4,0.2695079091070472
1306893640.95,3.9379756,5.443435,322.0800628,-0.6,10.3,246.7,-1.0,280.99108744807046,41707.76504802639,299.1750697310524,0.07572637831080765,87.9,0.2700152253800131
1306893641.79,3.9367474,5.4430738,379.46195439999997,-0.9,10.1,246.7,-1.0,291.62842716816635,48419.68457880652,298.5710109036109,0.0772772913364053,84.1,0.2706477822479046
1306893642.22,3.936102,5.442886,409.8097244,-1.1,9.9,246.7,-1.0,298.96362101972505,55033.827665466975,297.05384545713446,0.07753576272641097,81.5,0.27134364838963687
1306893642.64,3.9354538,5.4426986,439.5341348,-1.3,9.5,246.7,-1.0,306.9117462228929,61491.95498664837,299.07709594180466,0.07893258725920207,82.5,0.2720978478647025
1306893643.06,3.9347886,5.4425075,468.6351856,-1.5,8.9,246.7,-1.0,314.2175307664696,67524.39760018534,299.7303527990678,0.07878434556400706,83.39999999999999,0.2729057874972484
1306893643.48,3.9341121,5.4423143,496.2926668,-1.7,8.5,246.5,-1.0,318.7792482150313,73077.5661381271,299.741921041785,0.07948453559406554,84.4,0.2736877756862248
1306893643.9,3.9334141,5.442116,522.3753448,-2.0,8.1,246.5,-1.0,328.11202896250666,78739.22235841803,300.6104126117013,0.07908356491865264,86.60000000000001,0.27442406177546363
1306893644.33,3.9326905,5.4419112,546.7191776,-2.3,7.8,246.5,-1.0,331.5624388906319,85153.18152034526,299.7728732044444,0.07558250124879624,89.4,0.27512306658736213
1306893644.75,3.9319561,5.441704,568.5367636,-2.7,7.6,246.4,-1.0,343.7707417862036,91116.95213959995,300.99098782180744,0.07575224723665457,88.60000000000001,0.27581954515254153
1306893645.18,3.9311823,5.4414861,588.582696,-3.1,7.6,246.4,-1.0,353.2159440026453,98015.72369815636,301.166526763066,0.0724704723370595,86.00000000000001,0.27650561251912065
1306893645.62,3.9303845,5.4412613,606.7585496,-3.5,7.7,246.3,-1.0,355.5726001164223,105669.72512529796,301.1043872373269,0.07024230407289493,83.69999999999999,0.27716986230039803
1306893646.04,3.9296029,5.4410397,623.3596,-3.8,8.1,246.2,-1.0,364.95093338074645,112869.9262450326,301.612628332193,0.069828772991191,84.3,0.27773895678858695
1306893646.47,3.9287863,5.4408067,640.4199679999999,-4.2,8.5,246.1,-1.0,372.80029422208656,120817.7731628386,304.13522730524676,0.06950622352468384,86.3,0.2782770473397681
1306893646.89,3.9279598,5.4405689,658.2677375999999,-4.4,8.9,246.0,-1.0,386.89152731078644,129044.02772607333,304.68644366916953,0.06964287299162847,84.9,0.2787874257299693
1306893647.31,3.9271378,5.4403305,677.165376,-4.6,9.3,246.0,-1.0,385.3434782512547,137645.6088998864,302.8062172514233,0.06913420899408788,85.80000000000001,0.27927399615866577
1306893647.73,3.9262916,5.4400829,698.0643268,-4.6,9.5,245.7,-1.0,397.2011102684418,145027.3434221125,303.28840931131214,0.06807303969291045,85.60000000000001,0.27974479668360014
1306893648.15,3.9254371,5.4398308,720.7677396,-4.8,9.7,245.6,-1.0,401.9572319984285,153822.7013824343,302.3930780893741,0.0697473025942192,85.00000000000001,0.2802077122566535
1306893648.58,3.924537,5.4395631,746.2598664,-4.8,9.7,245.4,-1.0,414.1668639918756,161520.64499016246,302.8860471282239,0.06991091824440926,85.30000000000003,0.28067330718228783
1306893649.0,3.9236646,5.4393018,772.6050116,-6.8,12.8,245.3,-1.0,411.85024038221655,169540.1876993259,300.9432640873494,0.06939942069377157,84.2,0.28114946641238403
1306893649.44,3.9227286,5.4390168,806.0039628,-25.6,14.0,244.6,-1.0,423.5527410190132,176511.55364498697,299.97861488090234,0.07088185861106563,85.0,0.28165678268534994
1306893649.86,3.9218414,5.4387326,842.9790296,-39.9,15.3,243.0,-1.0,425.2313359037211,183726.9778866504,299.8550391552576,0.07312352530978639,86.79999999999998,0.2822079637877121
1306893650.29,3.9209294,5.4384172,885.5643328000001,-42.8,14.8,241.3,-1.0,433.91207637770145,188981.56752646508,301.00402958134094,0.0736109801783829,89.10000000000002,0.2828197748113342
1306893650.71,3.9200714,5.4381005,927.7887436000001,-47.4,13.0,240.0,-1.0,424.0617613172789,192162.01397166803,300.85186438794676,0.07276289448868525,88.30000000000001,0.28349030193294406
1306893651.15,3.9191857,5.4377583,970.5380888,-52.8,11.7,239.0,-1.0,421.766461522223,192079.96185814711,299.28920106263394,0.07064186877140326,90.00000000000001,0.2842189327290945
1306893651.58,3.9183352,5.4374177,1009.1863840000001,-54.6,10.4,238.1,-1.0,417.31672034363265,187423.4882060101,300.55734580650943,0.06914904804498768,87.50000000000001,0.2849936483896369
1306893652.0,3.9175062,5.4370761,1043.6680124,-55.8,9.5,237.5,-1.0,418.68240630178366,179570.0122067328,299.06043900769214,0.07085390885839599,86.60000000000001,0.28580005696356514
1306893652.43,3.9166651,5.4367202,1075.2296932000002,-57.5,8.9,236.7,-1.0,416.93751746155976,169609.50608530134,300.4311277359222,0.06861182994271493,88.19999999999999,0.286627134828832
1306893652.85,3.9158427,5.4363616,1102.7231324,-58.3,8.4,235.9,-1.0,420.24878111583126,160975.2488620972,299.0203476608658,0.06886865411461844,86.6,0.28745888242288264
1306893653.28,3.9150228,5.4359917,1127.0013483999999,-58.7,8.0,234.9,-1.0,412.52802149458813,154463.97954698635,299.0525873005909,0.07071854580216982,87.1,0.28828580718228775
