flight id:901
flight code:F-15C
origin:US
date:2011-06-01
from:krasnodar pashkovsky
to:mozdok
motor(s):2
mass aircraft:29498
mass fuel:29498
lift coef:1.408162940600709
drag coef:0.016385370250972982

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,heart_rate,oxygen_mask
1306893631.32,6.4752918,4.1768605,155.7414748,-1.0,4.0,-1.0,-1.0,161.03081458591575,3064.291732113353,3064.291732113353,296.49549252846646,0.07656397045037697,86.5,0.26112923400672094
1306893631.74,6.475647,4.1769052,155.8399,-1.0,5.8,-1.0,-1.0,161.03081458591575,3111.3684292160838,3111.3684292160838,296.22713573014937,0.07357115258124722,87.0,0.26098875937854943
1306893632.16,6.4760197,4.1769521,155.9383252,-1.0,6.9,-1.0,-1.0,169.02040226871742,3267.0748501443018,3267.0748501443018,297.6084716754732,0.07124637764958268,88.1,0.2609572195710254
1306893632.58,6.4763879,4.1769985,155.9711336,-1.0,7.7,-1.0,-1.0,166.9484099148005,3193.4259245284566,3193.4259245284566,299.8431751865774,0.07382106329059304,88.7,0.2609375454677883
1306893633.01,6.4767784,4.1770476,155.9711336,-1.0,8.2,-1.0,-1.0,172.80861031403637,3443.355840735891,3443.355840735891,297.95664603848064,0.07567781510521442,91.9,0.26092675150453376
1306893634.5,6.4781979,4.1772264,158.2021048,-1.0,9.7,-1.0,-1.0,181.18971502558833,3443.3558407358923,3443.3558407358923,297.95664603848064,0.07567781510521442,91.9,0.26092675150453376
1306893634.92,6.4786099,4.1772783,160.597118,-1.0,9.9,-1.0,-1.0,186.69430186524684,3193.4259245284557,3193.4259245284557,299.8431751865774,0.07382106329059304,88.69999999999999,0.2609375454677883
1306893635.36,6.4790541,4.1773343,164.40289239999998,-1.0,10.1,-1.0,-1.0,191.8589727311729,3267.074850144303,3267.074850144303,297.6084716754732,0.07124637764958268,88.10000000000001,0.2609572195710254
1306893635.79,6.4794954,4.1773901,169.455386,-1.0,10.3,-1.0,-1.0,195.35475884990876,3111.3684292160833,3111.3684292160833,296.22713573014937,0.0735711525812472,87.0,0.2609887593785495
1306893637.95,6.4818114,4.1776862,216.04331399999998,0.1,10.3,-1.0,-1.0,204.32060098468077,3064.291732113353,3064.291732113353,296.49549252846646,0.07656397045037697,86.5,0.261129234006721
1306893639.24,6.4833337,4.1778852,263.45145199999996,0.1,10.5,-1.0,-1.0,225.7161178437133,3422.140827142619,3422.140827142619,298.93615334863887,0.07661233091406695,86.4,0.26138055727881193
1306893640.09,6.4844059,4.1780283,304.69161080000003,0.3,10.4,-1.0,-1.0,241.9767730098737,3945.730851043502,3945.730851043502,299.1996664301464,0.07770088924778294,89.60000000000002,0.26172787792623103
1306893640.51,6.4849556,4.1781027,328.0511916,0.3,10.4,-1.0,-1.0,251.45547462613632,4419.532978900504,4419.532978900504,298.8392301684679,0.0779786681048634,88.20000000000002,0.2621294746016466
1306893640.95,6.4855435,4.1781833,354.5275704,0.3,10.3,-1.0,-1.0,257.41887090741943,5141.89718286595,5141.89718286595,296.84757483191504,0.07845726301342272,88.20000000000002,0.2625927729393544
1306893641.37,6.4861146,4.1782624,381.4960752,0.3,10.2,-1.0,-1.0,262.2633904636833,5812.161261140746,5812.161261140746,297.2152877469589,0.07746509356643495,84.70000000000002,0.26311899778624853
1306893641.79,6.4867081,4.1783456,410.13780840000004,0.3,10.0,-1.0,-1.0,272.7887335141105,6753.481716229675,6753.481716229675,299.0198102598875,0.07499174614276158,83.80000000000001,0.26370684774250397
1306893642.22,6.4873195,4.1784323,439.5341348,0.8,9.6,-1.0,-1.0,274.2487010212896,7611.893357042005,7611.893357042005,299.5361792775344,0.07409865945136104,84.8,0.2643577007608766
1306893642.64,6.4879335,4.1785203,468.33991,0.9,9.2,-1.0,-1.0,282.0726459027381,9095.72821434238,9095.72821434238,301.42346009364474,0.07531525933996246,85.6,0.2650668871125827
1306893643.06,6.4885637,4.1786115,496.4895172,1.1,8.8,-1.0,-1.0,289.2723946531708,10601.325887078707,10601.325887078707,302.7167422598246,0.07334725597563635,83.89999999999999,0.2658299667276308
1306893643.48,6.4892046,4.1787051,523.29398,1.3,8.4,80.7,-1.0,293.5210470269512,11993.362542826837,11993.362542826837,302.30881256208755,0.07199533833938099,87.2,0.2665468849253561
1306893643.9,6.4898662,4.1788024,548.72049,1.5,8.1,80.7,-1.0,302.67342233599254,13615.72256103937,13615.72256103937,302.34060071399244,0.07384945195083273,88.3,0.2672125126593894
1306893644.33,6.4905527,4.178904,572.6050052,1.7,7.9,80.7,-1.0,306.2342528660674,14868.476022668157,14868.476022668157,302.9407598185824,0.07269209270973183,85.4,0.26783764389298514
1306893644.75,6.4912504,4.1790077,594.2585492,2.0,7.7,80.7,-1.0,317.99110857529087,15983.07970692955,15983.07970692955,301.53939071827193,0.07421334518704407,86.1,0.268458794374175
1306893645.18,6.491987,4.1791175,614.4029068,2.3,7.7,80.8,-1.0,327.7954061247394,17015.41265223309,17015.41265223309,302.2790770635872,0.07074290145077501,85.89999999999999,0.2690651701397043
