flight id:701
flight code:F-14B
origin:US
date:2011-06-01
from:gelendzhik
to:maykop-khanskaya
motor(s):2
mass aircraft:44040
mass fuel:44040
lift coef:1.3582186375634022
drag coef:0.017830377164784177

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893619.68,1.9873293,6.9620843,-3.28084,-1.0,0.0,-1.0,-1.0,2648.2295676863946,2648.2295676863946,302.87446827913874,0.07058578264044735,3.685656892947578,91.50000000000001,0.32672559242156285
1306893621.59,1.9878503,6.9624803,-3.28084,-1.0,-0.1,-1.0,-1.0,2509.800170241965,2509.800170241965,302.5613527465227,0.0713423355059792,3.667863165459468,94.4,0.3265502096569084
1306893622.87,1.9882671,6.9627971,-3.28084,-1.0,-0.2,-1.0,-1.0,1898.0177112720787,1898.0177112720787,304.25041725213066,0.07000380329192307,3.6961320518418193,94.50000000000001,0.32637482689225394
1306893623.95,1.9886582,6.9630943,-3.28084,-1.0,-0.3,-1.0,-1.0,1351.5529492133342,1351.5529492133342,305.74746350886386,0.07104933714979543,3.7771275512813753,95.89999999999999,0.32619944412759955
1306893624.82,1.9890043,6.9633573,71.7847792,-1.0,-0.4,-1.0,-1.0,897.2523926538213,897.2523926538213,306.35577001331603,0.07199209273819189,3.655554262489882,97.3,0.3261992910217378
1306893625.46,1.9892703,6.9635595,71.8175876,-1.0,-0.5,-1.0,-1.0,897.2523926538213,897.2523926538213,306.35577001331603,0.07199209273819189,3.6555542624898822,97.30000000000001,0.3261992910217378
1306893626.1,1.9895512,6.963773,71.85039599999999,-1.0,-0.6,-1.0,-1.0,1351.5529492133342,1351.5529492133342,305.74746350886386,0.07104933714979544,3.7771275512813753,95.9,0.32619944412759955
1306893626.55,1.9897601,6.9639317,71.8832044,-1.0,-0.7,-1.0,-1.0,1898.0177112720787,1898.0177112720787,304.25041725213066,0.07000380329192309,3.6961320518418197,94.5,0.32637482689225394
1306893627.62,1.9902777,6.9643251,71.8832044,-1.0,-0.8,-1.0,-1.0,2509.800170241965,2509.800170241965,302.56135274652274,0.0713423355059792,3.667863165459469,94.4,0.3265502096569083
1306893628.7,1.9908326,6.9647468,71.8832044,-1.0,-0.9,-1.0,-1.0,2648.2295676863946,2648.2295676863946,302.87446827913874,0.07058578264044733,3.685656892947579,91.50000000000001,0.32672559242156274
1306893629.57,1.9913132,6.965112,71.8832044,-1.0,-1.0,-1.0,-1.0,2393.5527084072855,2393.5527084072855,302.618255919234,0.07152289672635914,3.7715989100817096,93.4,0.32690097518621714
1306893630.44,1.9918176,6.9654953,71.8832044,-1.0,-1.1,-1.0,-1.0,2187.661280043117,2187.661280043117,302.1278255742055,0.07391790646155721,3.787805991397987,91.30000000000001,0.3270763579508716
1306893631.32,1.9923479,6.9658983,71.8832044,-1.0,-1.2,-1.0,-1.0,1971.893343876287,1971.893343876287,302.236820893504,0.0757614693242827,3.770552521254407,91.5,0.327251740715526
