flight id:501
flight code:Tu-142
origin:RU
date:2011-06-01
from:anapa-vityazevo
to:novorossiysk
motor(s):4
mass aircraft:96000.025248
mass fuel:96000.025248
lift coef:1.5098032749390164
drag coef:0.017311591591697872

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,engine_2,engine_3,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306894859.17,6.0374022,4.2432626,17.45,0.0,1.0,318.3,646374.25,-281607.97,-1.0,3.486390000390256,1422.9708768580797,1422.9708768580797,1422.9708768580797,1422.9708768580797,27.691799033839334,6.826582547713465,23691.897788374103,93.80000000000001,32.86839751675874
1306894858.75,6.0374094,4.2432568,17.45,0.0,1.1,318.9,646374.88,-281608.53,-1.0,3.3103747043150245,583.625074700465,583.625074700465,583.625074700465,583.625074700465,27.957200483527455,6.7432685059805975,23879.430211465766,92.3,32.86839751675874
1306894858.33,6.0374165,4.2432507,17.45,0.0,1.2,319.3,646375.56,-281609.16,-1.0,3.299784048040043,357.8013208329944,357.8013208329944,357.8013208329944,357.8013208329944,28.73266908036838,6.646363449299486,23277.169144954452,91.1,32.86839751675874
1306894857.9,6.0374237,4.243244,17.45,0.0,1.2,319.6,646376.25,-281609.81,-1.0,3.2606747890162153,184.90605952715143,184.90605952715143,184.90605952715143,184.90605952715143,28.973846573980772,6.6957581518445295,23132.37595518086,93.6,32.86839751675874
1306894857.46,6.037431,4.2432374,17.45,0.0,1.2,319.8,646376.88,-281610.5,-1.0,3.239114313518859,171.10061632261196,171.10061632261196,171.10061632261196,171.10061632261196,28.762812089354004,6.919178420060986,23417.401514995276,92.6,32.86839751675874
1306894857.04,6.0374379,4.243231,17.45,0.0,1.2,319.9,646377.56,-281611.16,-1.0,3.2744988397248207,551.4747179093089,551.4747179093089,551.4747179093089,551.4747179093089,31.09472251470973,7.273525237459322,23263.65555778166,89.1,32.86839751675874
1306894856.19,6.0374522,4.2432178,17.45,0.0,1.2,320.1,646378.88,-281612.47,-1.0,3.2391143133806026,557.292197307932,557.292197307932,557.292197307932,557.292197307932,28.116133580513093,7.272688295150717,23285.627481219002,88.4,32.86839751675874
1306894855.77,6.0374592,4.2432114,17.45,0.0,1.2,320.4,646379.56,-281613.13,-1.0,3.2452922423783073,3567.210775140942,3567.210775140942,3567.210775140942,3567.210775140942,26.959416526466157,7.619602735171327,23512.976652943245,85.60000000000001,32.86839751675874
1306894853.66,6.0374945,4.2431788,17.45,0.0,1.2,320.4,646382.88,-281616.44,-1.0,3.254234919058537,7069.90783141379,7069.90783141379,7069.90783141379,7069.90783141379,27.876569292559548,7.475250751213523,24228.446898913106,88.4,32.86839751675874
1306894852.4,6.0375155,4.2431595,17.45,0.0,1.1,320.4,646384.81,-281618.41,-1.0,3.2393460445449658,9418.545728033607,9418.545728033607,9418.545728033607,9418.545728033607,26.191010506661428,7.4927450903312,24347.144433008238,88.5,32.86839751675874
1306894851.55,6.0375297,4.2431464,17.45,0.0,1.1,320.3,646386.13,-281619.75,-1.0,3.2556433437377725,12227.15214153907,12227.15214153907,12227.15214153907,12227.15214153907,27.281393729342124,7.720989050904369,24274.294359654785,89.70000000000002,32.86839751675874
