timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631.32,2.011986,6.5731802,-1.0,-1.0,1.6,-1.0,298433.75,-50345.76,-1.0,85.35873000765979,6535382.124524599,6535382.124524599,21.790881198563643,8.040770760144165,24204.88473380742,89.10000000000001,31.419450080708096
1306893632.16,2.0114221,6.572756,23.69,-1.0,4.0,-1.0,298391.88,-50395.63,-1.0,85.35873000765979,5913005.59798551,5913005.59798551,20.8027563794727,7.717256929166998,24397.965502343308,90.50000000000001,31.408043694006434
1306893632.58,2.0111373,6.5725418,23.73,-1.0,6.0,-1.0,298370.72,-50420.82,-1.0,80.94564893259495,5247405.787555491,5247405.787555491,19.13302006723136,7.6644504109506375,23989.425526301195,89.9,31.40565524256286
1306893633.01,2.0108356,6.5723149,23.75,-1.0,7.3,-1.0,298348.31,-50447.5,-1.0,83.64307780811362,4660946.491615031,4660946.491615031,18.212759779861482,7.476071427390078,24111.29263850727,91.19999999999999,31.404935645012554
1306893634.5,2.0097405,6.5714913,23.79,-1.0,9.2,-1.0,298267.0,-50544.34,-1.0,87.473474325875,4419951.259026266,4419951.259026266,18.6315972512274,7.532486979775734,23788.41975327069,91.5,31.404660054461374
1306893634.92,2.0094227,6.5712523,23.87,-1.0,9.6,-1.0,298243.41,-50572.45,-1.0,89.98005171215121,4419951.259026266,4419951.259026266,18.631597251227404,7.532486979775733,23788.419753270686,91.5,31.404660054461374
1306893635.36,2.0090796,6.5709942,24.15,-1.0,10.1,-1.0,298217.91,-50602.79,-1.0,92.67678691669505,4660946.491615031,4660946.491615031,18.212759779861486,7.476071427390078,24111.292638507268,91.2,31.404935645012557
1306893635.79,2.008738,6.5707374,24.69,-1.0,10.4,-1.0,298192.53,-50632.99,-1.0,94.34714108294148,5247405.787555491,5247405.787555491,19.133020067231357,7.664450410950639,23989.425526301195,89.9,31.40565524256286
1306893636.66,2.0080283,6.5702041,26.85,-1.0,10.7,-1.0,298139.84,-50695.69,-1.0,96.76473436643244,5913005.59798551,5913005.59798551,20.802756379472697,7.717256929167001,24397.965502343308,90.5,31.40804369400643
1306893638.8,2.0061722,6.5688156,38.59,-0.1,10.7,-1.0,298001.94,-50859.0,-1.0,102.60647870449135,6535382.124524599,6535382.124524599,21.790881198563635,8.040770760144165,24204.884733807423,89.1,31.41945008070809
