timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,engine_2,engine_3,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893651.15,5.8544104,3.9282649,-1.0,-1.0,1.1,-1.0,634916.31,-318222.81,-1.0,50.03768929419622,21371702.26022393,21371702.26022393,21371702.26022393,21371702.26022393,26.510487889335664,7.1674071275436315,25073.651280451966,93.30000000000001,27.306252564392498
1306893663.79,5.86171,3.9296268,-1.0,-1.0,1.0,-1.0,635506.5,-318008.31,-1.0,50.03768929419622,25612757.17339503,25612757.17339503,25612757.17339503,25612757.17339503,24.821043420200056,7.181258822587437,24545.350010924638,93.30000000000001,27.23334355301892
1306893705.11,5.9020464,3.9372573,99.6,1.1,6.6,-1.0,638766.06,-316810.41,-1.0,84.31027827999617,24926402.751267295,24926402.751267295,24926402.751267295,24926402.751267295,24.52557613340472,7.3195483530627925,24472.651130326103,93.4,27.23684967725339
1306893705.97,5.9030301,3.9374466,99.04,1.1,6.5,77.0,638845.56,-316780.81,-1.0,98.82950318745638,14651657.609383143,14651657.609383143,14651657.609383143,14651657.609383143,25.821884076940933,7.278106651212581,25061.94567694365,95.30000000000001,27.238832398163275
1306893706.19,5.9032916,3.9374964,98.64,1.1,6.4,77.0,638866.69,-316773.0,-1.0,102.60552679231037,12913524.271423776,12913524.271423776,12913524.271423776,12913524.271423776,27.781019039412868,7.046081509939404,25323.974392714666,93.6,27.240041934471236
1306893706.63,5.9037975,3.9375924,97.65,1.1,6.3,77.0,638907.56,-316757.94,-1.0,99.22011548662987,12913524.271423774,12913524.271423774,12913524.271423774,12913524.271423774,27.781019039412868,7.046081509939404,25323.974392714663,93.6,27.24004193447123
1306893706.84,5.9040524,3.9376405,97.06,1.1,6.2,77.0,638928.13,-316750.38,-1.0,104.59647900360753,14651657.609383142,14651657.609383142,14651657.609383142,14651657.609383142,25.82188407694093,7.278106651212581,25061.94567694365,95.30000000000001,27.238832398163268
1306893707.05,5.9042916,3.9376854,96.45,1.1,6.1,77.1,638947.44,-316743.28,-1.0,98.22176902852085,24926402.751267295,24926402.751267295,24926402.751267295,24926402.751267295,24.52557613340472,7.3195483530627925,24472.6511303261,93.4,27.23684967725338
1306893707.48,5.9048008,3.9377805,95.02,1.1,6.0,77.1,638988.63,-316728.31,-1.0,102.19680808811309,25612757.173395038,25612757.173395038,25612757.173395038,25612757.173395038,24.821043420200056,7.181258822587438,24545.350010924634,93.30000000000001,27.233343553018916
1306893707.7,5.9050568,3.937828,94.24,1.0,5.9,77.1,639009.31,-316720.78,-1.0,100.32132719968853,21371702.260223925,21371702.260223925,21371702.260223925,21371702.260223925,26.510487889335668,7.167407127543631,25073.651280451966,93.30000000000001,27.306252564392494
