flight id:201
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:maykop-khanskaya
to:anapa-vityazevo
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,yaw,heading,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631.74,9.0233577,3.6329568,466.74,-1.0,1.3,-1.0,-1.0,7830065.567222012,22.343067588972243,7.723126868214441,23922.49747513498,89.30000000000001,37.19477887912893
1306893632.16,9.0235654,3.632746,466.84,-1.0,4.0,-1.0,-1.0,7021181.356035621,21.6850784300731,7.855357139839348,24099.128710424793,87.90000000000002,37.18249213372211
1306893632.58,9.0237708,3.6325375,466.9,-1.0,5.8,-1.0,-1.0,6220400.186630446,21.113525006128523,8.17385978268157,24538.836069342895,87.60000000000001,37.18145866915518
1306893633.01,9.023989,3.6323161,466.95,-1.0,7.0,-1.0,-1.0,5584972.070905885,19.276633738672672,8.074176601071073,25081.901928636296,89.80000000000001,37.180968730397524
1306893634.5,9.024785,3.6315082,467.03,-1.0,8.7,-1.0,-1.0,5334767.885678555,19.730930507743498,7.908259029557447,24772.206496966173,90.8,37.18082327982884
1306893634.92,9.025017,3.6312727,467.06,-1.0,9.0,-1.0,-1.0,5334767.885678554,19.730930507743498,7.908259029557447,24772.206496966173,90.8,37.18082327982884
1306893635.36,9.0252679,3.631018,467.22,-1.0,9.3,-1.0,-1.0,5584972.070905883,19.276633738672672,8.074176601071075,25081.901928636296,89.79999999999998,37.180968730397524
1306893635.79,9.0255179,3.6307642,467.59,-1.0,9.7,-1.0,-1.0,6220400.186630446,21.11352500612852,8.173859782681571,24538.8360693429,87.6,37.18145866915518
1306893636.22,9.0257713,3.6305069,468.25,-1.0,9.9,-1.0,-1.0,7021181.35603562,21.685078430073098,7.855357139839347,24099.128710424793,87.9,37.18249213372211
1306893639.24,9.027675,3.6285677,482.89,-1.0,10.1,-1.0,-1.0,7830065.567222013,22.34306758897224,7.723126868214441,23922.49747513498,89.3,37.194778879128926
1306893640.95,9.0288588,3.6273524,499.08,-0.2,10.1,-1.0,-1.0,8594926.268445069,23.57429499704109,7.8970638295216125,24401.79487443533,89.00000000000001,37.2195360969767
1306893641.79,9.0294742,3.626717,509.18,-0.2,9.9,-1.0,-1.0,9575914.077180738,24.55210844842262,7.51581682819816,24733.548352155518,90.4,37.25194860791284
1306893642.64,9.0301145,3.6260531,520.73,-0.4,9.9,143.5,-1.0,10958007.81268201,26.362928400905066,7.506183927960217,24640.38705827391,87.7,37.2931570506075
1306893643.9,9.0311045,3.6250211,540.3,-0.6,9.7,143.5,-1.0,12920126.102204109,27.07606079054731,7.6047825770837445,24548.498017560665,85.6,37.34930862541064
1306893644.33,9.0314495,3.6246601,547.51,-0.7,9.7,143.5,-1.0,15498831.946689984,27.711154507809475,7.706122324612983,24679.238415575244,84.8,37.410918424185795
1306893644.75,9.0317965,3.6242964,554.83,-0.8,9.5,143.4,-1.0,18491174.38814254,28.096831815073877,7.948830643324168,24283.628068815953,86.7,37.47810893162237
1306893645.18,9.032159,3.6239157,562.39,-0.9,9.2,143.4,-1.0,21490935.71945984,28.786088185600374,7.961514433307445,23966.370459766047,89.6,37.55096435594433
1306893645.62,9.03253,3.6235255,569.92,-1.0,9.0,143.4,-1.0,24289273.670463346,27.607139347262482,7.887599970466452,23975.38997639361,91.30000000000001,37.62930097011757
