flight id:301
flight code:Su-25T
origin:RU
date:2011-06-01
from:gelendzhik
to:maykop-khanskaya
motor(s):2
mass aircraft:11495.835648
mass fuel:11495.835648
lift coef:1.1776856990315037
drag coef:0.011020666513337473

timestamp,latitude,altitude,roll,pitch,yaw,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893600.43,7.0891938,1997.55,-0.8,0.6,-1.0,-1.0,205.71302799072274,59593711.49293571,59593711.49293571,25.20351025915288,7.309219183648265,24078.75872232758,88.5,46.914998720537405
1306893600.86,7.0892646,1996.47,-1.0,1.0,-1.0,-1.0,205.71302799072274,59037620.37396236,59037620.37396236,25.210191503445248,7.226772011826297,24855.62646281699,88.8,46.92165117023119
1306893601.28,7.0893351,1995.1,-0.2,1.3,-1.0,-1.0,208.89969100756312,58275001.30830589,58275001.30830589,25.96814711803542,7.466336461433487,24646.99915688735,89.3,46.92707877303084
1306893601.71,7.0894061,1993.63,-0.2,1.6,-1.0,-1.0,205.52068169676272,57659389.03573894,57659389.03573894,23.67966064931583,7.685579739267381,24039.315794738486,89.1,46.93058489726531
1306893602.13,7.0894768,1992.22,-0.3,1.8,-1.0,-1.0,209.266826981519,57515065.71410795,57515065.71410795,22.027738042229817,7.859100682821658,24169.886193187842,91.60000000000001,46.93236092526182
1306893602.55,7.0895463,1990.97,-0.2,2.1,-1.0,-1.0,205.45366953056921,57515065.71410795,57515065.71410795,22.027738042229817,7.859100682821658,24169.88619318784,91.60000000000001,46.93236092526182
1306893602.97,7.0896171,1989.9,-0.0,2.3,-1.0,-1.0,209.42640869458123,57659389.03573894,57659389.03573894,23.67966064931583,7.685579739267382,24039.315794738486,89.10000000000001,46.930584897265305
1306893603.4,7.0896882,1989.05,-0.1,2.5,-1.0,-1.0,205.1347065948093,58275001.30830589,58275001.30830589,25.968147118035418,7.466336461433486,24646.999156887352,89.30000000000001,46.92707877303083
1306893604.26,7.0898323,1988.01,-0.1,2.5,-1.0,-1.0,207.88360998239784,59037620.37396235,59037620.37396235,25.210191503445248,7.226772011826296,24855.62646281699,88.8,46.92165117023118
1306893605.11,7.0899751,1987.78,-0.2,2.5,-1.0,-1.0,208.2476475002271,59593711.4929357,59593711.4929357,25.203510259152882,7.309219183648266,24078.758722327577,88.5,46.91499872053739
1306893606.81,7.0902607,1988.98,-0.2,2.5,-1.0,-1.0,207.84857414523646,60084212.85903717,60084212.85903717,26.086706178418908,7.396032187829919,24336.85466688483,85.0,46.90843813436067
1306893608.92,7.0906178,1991.75,-0.2,2.9,-1.0,-1.0,208.6946533905475,60579457.67459398,60579457.67459398,24.9640443111696,7.553549949741261,24383.753864569968,86.2,46.90482483602296
1306893612.8,7.091276,1996.18,-0.2,2.7,-1.0,-1.0,207.77622202833783,60554820.052398674,60554820.052398674,22.771946072620125,7.381426409455386,24023.461031408784,88.00000000000001,46.9056516076765
1306893613.66,7.091422,1996.84,-0.2,2.7,84.3,-1.0,206.7504210978116,60642263.97560407,60642263.97560407,25.40843072425415,7.167486339250667,24601.415365266155,88.90000000000002,46.908108956757864
1306893618.37,7.0922326,1998.97,-0.2,2.7,84.3,-1.0,208.2170639228182,60394689.65309728,60394689.65309728,25.50247594521569,7.11212677041523,24779.372418327992,85.90000000000002,46.913276279592516
1306893619.68,7.0924595,1999.25,-0.2,2.7,84.3,-1.0,208.2988852674,60724316.17828296,60724316.17828296,26.712294587133265,7.2932568415570085,25707.29435562415,88.00000000000001,46.91961486226968
