flight id:201
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:krasnodar pashkovsky
to:mozdok
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893631.74,9.0233577,3.6329568,466.74,-1.0,1.3,-1.0,902763.25,-318673.19,74.83708283736742,7830065.567222012,23.376951870161406,7.683836250541831,25264.365067886385,88.50000000000001,34.85556453864197
1306893632.16,9.0235654,3.632746,466.84,-1.0,4.0,-1.0,902783.88,-318694.19,74.83708283736742,7021181.356035621,25.81929253122705,7.871307295535463,24817.01876080974,90.5,34.84327779323515
1306893632.58,9.0237708,3.6325375,466.9,-1.0,5.8,-1.0,902804.31,-318714.97,74.12901876081644,6220400.186630446,25.317395726741484,7.793421790347578,24877.420913168087,90.7,34.84224432866822
1306893633.01,9.023989,3.6323161,466.95,-1.0,7.0,-1.0,902826.0,-318737.03,76.69134272031464,5584972.070905885,23.141029318649665,7.725079283944484,25278.356382789087,89.60000000000001,34.84175438991057
1306893634.5,9.024785,3.6315082,467.03,-1.0,8.7,-1.0,902905.19,-318817.53,80.52926948372041,5334767.885678555,24.779779281365666,7.7064728040487696,25214.384236218,90.90000000000002,34.84160893934189
1306893634.92,9.025017,3.6312727,467.06,-1.0,9.0,-1.0,902928.31,-318841.0,83.18128846266701,5334767.885678554,24.77977928136567,7.7064728040487696,25214.384236218,90.90000000000002,34.84160893934189
1306893635.36,9.0252679,3.631018,467.22,-1.0,9.3,-1.0,902953.25,-318866.38,85.61358120910553,5584972.070905883,23.141029318649668,7.725079283944483,25278.356382789087,89.60000000000001,34.84175438991056
1306893635.79,9.0255179,3.6307642,467.59,-1.0,9.7,-1.0,902978.13,-318891.66,87.23211390883581,6220400.186630446,25.31739572674148,7.793421790347578,24877.42091316809,90.7,34.842244328668215
1306893636.22,9.0257713,3.6305069,468.25,-1.0,9.9,-1.0,903003.31,-318917.31,88.34609305431447,7021181.35603562,25.81929253122705,7.871307295535463,24817.018760809737,90.5,34.84327779323515
1306893639.24,9.027675,3.6285677,482.89,-1.0,10.1,-1.0,903192.81,-319110.63,94.50535571099894,7830065.567222013,23.37695187016141,7.683836250541832,25264.36506788638,88.5,34.85556453864197
1306893640.95,9.0288588,3.6273524,499.08,-0.2,10.1,-1.0,903310.81,-319231.88,109.36406038359853,8594926.268445069,24.94530768981003,7.645623448725456,25021.037083847557,87.2,34.88032175648974
1306893641.79,9.0294742,3.626717,509.18,-0.2,9.9,-1.0,903372.25,-319295.31,115.77029804338785,9575914.077180738,24.645197830926023,7.576394891531302,25587.9650081974,85.50000000000001,34.912734267425876
