flight id:401
flight code:Su-27
origin:RU
date:2011-06-01
from:soganlug
to:krasnodar center
motor(s):2
mass aircraft:17500.032952
mass fuel:17500.032952
lift coef:1.3276531002791723
drag coef:0.012475794761808172

timestamp,longitude,latitude,altitude,roll,pitch,yaw,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893678.0,2.0169883,6.5769419,-1.0,-1.0,-1.6,-1.0,-49903.43,-1.0,44.77293848531802,155086928.48592553,155086928.48592553,25.307109574360403,7.765949357848748,24841.605898448808,96.70000000000002,29.514115324912847
1306893680.79,2.015972,6.5761777,-1.0,-1.0,-1.7,-1.0,-49993.29,-1.0,44.77293848531802,116351680.37004057,116351680.37004057,24.483405836784435,7.44794955553154,24782.244612992374,97.7,29.494563706365167
1306893682.29,2.0153206,6.5756879,-1.0,-1.0,-1.8,-1.0,-50050.89,-1.0,52.82824123713588,77602111.76537506,77602111.76537506,24.31050372710413,7.395393767109009,25209.49077426271,97.70000000000002,29.47502739840366
1306893683.8,2.0145922,6.5751401,-1.0,-1.0,-1.9,-1.0,-50115.3,-1.0,58.37142723971263,38881422.095592305,38881422.095592305,23.01658074900966,7.603967846495564,24913.766667907068,98.5,29.455514056321423
1306893685.94,2.0134344,6.5742694,-1.0,-1.0,-1.7,-1.0,-50217.68,-1.0,65.11920283911851,1626948.714233633,1626948.714233633,22.347981607967675,7.767377878534514,24296.666432830214,99.69999999999999,29.43602368011845
1306893686.15,2.0133108,6.5741765,24.42,-1.0,0.4,-1.0,-50228.61,-1.0,140.1343513545488,1626948.7142336327,1626948.7142336327,22.34798160796767,7.767377878534514,24296.66643283021,99.7,29.43602368011845
1306893686.36,2.0131893,6.5740851,24.46,-1.0,2.3,-1.0,-50239.36,-1.0,69.52018664177447,38881422.09559228,38881422.09559228,23.016580749009663,7.603967846495565,24913.766667907068,98.50000000000001,29.455514056321423
1306893686.57,2.0130615,6.573989,24.49,-1.0,3.6,-1.0,-50250.65,-1.0,72.77652915536058,77602111.76537506,77602111.76537506,24.310503727104127,7.39539376710901,25209.490774262707,97.70000000000002,29.47502739840366
1306893686.78,2.0129365,6.573895,24.52,-1.0,4.8,-1.0,-50261.71,-1.0,71.41459459756477,116351680.37004055,116351680.37004055,24.483405836784435,7.447949555531542,24782.244612992374,97.70000000000002,29.494563706365167
1306893686.99,2.0128107,6.5738004,24.54,-1.0,5.7,-1.0,-50272.83,-1.0,71.785784112045,155086928.48592553,155086928.48592553,25.307109574360403,7.765949357848749,24841.605898448808,96.7,29.514115324912847
1306893687.2,2.0126773,6.5737001,24.55,-1.0,6.5,-1.0,-50284.63,-1.0,76.00336563027315,155022928.00370246,155022928.00370246,24.00174308144108,7.844176002217193,24513.694978002964,97.70000000000002,29.533674598753617
1306893687.42,2.012543,6.5735991,24.57,-1.0,7.2,-1.0,-50296.5,-1.0,73.0651378958788,116263468.80198212,116263468.80198212,23.820011911621446,8.056583843603125,24516.67498073428,98.80000000000001,29.55324918318056
1306893687.64,2.0124059,6.573496,24.58,-1.0,7.7,-1.0,-50308.63,-1.0,74.63702158514431,77559648.98430923,77559648.98430923,25.05475458066117,8.049339872183236,24611.02073549488,97.40000000000002,29.572831422900595
1306893687.86,2.0122673,6.5733917,24.6,-1.0,8.1,-1.0,-50320.89,-1.0,75.43675880832271,38923761.51029374,38923761.51029374,24.891174598634944,8.110620225228189,24731.909199374073,95.70000000000003,29.592428973206808
1306893688.08,2.0121271,6.5732863,24.61,-1.0,8.4,-1.0,-50333.29,-1.0,76.21852490523544,4282346.371792939,4282346.371792939,26.663245135328175,8.219705617958816,24473.66942725396,94.60000000000002,29.612034178806105
1306893688.29,2.011986,6.5731802,24.61,-1.0,8.7,-1.0,-50345.76,-1.0,80.15512541043802,4198197.345147272,4198197.345147272,26.185996034643907,8.099893032183214,24542.76061410388,94.80000000000001,29.612179629374786
1306893688.51,2.0118434,6.5730729,24.62,-1.0,8.9,-1.0,-50358.37,-1.0,77.47276415508465,4363788.03656565,4363788.03656565,26.669390075336242,8.053256368917415,23659.733232275834,95.4,29.6123021140642
1306893688.73,2.0116987,6.5729641,24.64,-1.0,9.2,-1.0,-50371.17,-1.0,78.5999034946375,4808014.970318282,4808014.970318282,25.43686025217253,8.106207330065876,23794.34808628344,94.5,29.61241694346053
