flight id:2d01
flight code:F-16A
origin:US
date:2011-06-01
from:beslan
to:kobuleti
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893600.46,5.9691472,3.0773664,22985.8275072,0.6,2.1,-1.0,2146771.5253895996,-1351141.0537352,-1.0,492.94888101480524,194454.7885164489,291.9781548992506,0.0807927302393095,3.5502925707646558,86.57775343538798,0.8478975454300091
1306893600.68,5.969216,3.077797,22984.1214704,0.6,2.3,-1.0,2146774.18287,-1350982.0314204,-1.0,492.94888101480524,190446.3736148732,294.48258332199066,0.07949970913104697,3.5977817457103214,84.41083618122832,0.8479631512917762
1306893601.12,5.9693538,3.0786575,22979.725144800002,-0.2,2.7,-1.0,2146779.7274896,-1350664.2164496,-1.0,492.61814319740955,190667.87345990358,295.20708054111503,0.08081506779059876,3.6513485498492364,82.58141550048197,0.8480171976609802
1306893601.76,5.9695539,3.079908,22972.6713388,-0.7,3.2,-1.0,2146787.5030804,-1350202.2413692,-1.0,492.3019418264251,190821.42000776718,295.7437314634363,0.07887207794073887,3.6508593496460504,84.69969112615023,0.8480536368560808
1306893602.39,5.9697502,3.0811381,22966.3065092,-1.3,3.6,-1.0,2146795.3114795997,-1349747.9434544,-1.0,491.7991739884195,190892.85720462035,297.0025872486232,0.08042972825069727,3.5754373159594315,86.61758849993906,0.848068641230534
1306893602.6,5.9698154,3.081548,22964.4692388,-1.6,3.7,-1.0,2146797.7721096,-1349596.49988,-1.0,491.8154525610736,190892.85720462035,297.0025872486232,0.08042972825069727,3.5754373159594315,86.61758849993906,0.848068641230534
1306893603.26,5.9700192,3.082836,22959.8760628,-2.1,4.0,-1.0,2146805.1539995996,-1349120.77808,-1.0,491.5441263635644,190821.42000776713,295.7437314634363,0.07887207794073887,3.6508593496460513,84.69969112615023,0.8480536368560808
1306893603.93,5.9702239,3.0841434,22957.0545404,-2.6,4.0,3.0,2146812.3390392,-1348637.9696656,-1.0,491.40142432894714,190667.87345990355,295.20708054111503,0.08081506779059876,3.6513485498492364,82.58141550048195,0.8480171976609802
1306893604.14,5.9702858,3.0845415,22956.5624144,-2.8,4.3,3.0,2146814.37316,-1348490.9552252002,-1.0,477.38146611360065,190446.37361487327,294.48258332199066,0.07949970913104697,3.597781745710321,84.41083618122833,0.8479631512917762
1306893604.58,5.9704179,3.0853983,22956.0046716,-3.1,4.3,2.9,2146818.2773595997,-1348174.6822492,-1.0,490.1446683157893,194454.7885164489,291.9781548992506,0.0807927302393095,3.550292570764655,86.57775343538798,0.847897545430009
