timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893619.68,1.9873293,6.9620843,-3.28084,-1.0,0.0,-1.0,963979.4927896,-23832.4154608,-1.0,65.73793555851795,2648.2295676863946,2648.2295676863946,293.4292683677838,0.0712928482462416,3.722452993157939,84.30000000000001,0.2573809944265697
1306893621.59,1.9878503,6.9624803,-3.28084,-1.0,-0.1,-1.0,964105.3786204,-23679.7579756,-1.0,65.73793555851795,2509.800170241965,2509.800170241965,296.23542358021297,0.07164269003547497,3.7789938687588127,84.20000000000002,0.25720561166191525
1306893622.87,1.9882671,6.9627971,-3.28084,-1.0,-0.2,-1.0,964206.0676,-23557.6779192,-1.0,79.26673861330622,1898.0177112720787,1898.0177112720787,296.2228975556011,0.072081439634623,3.809380898225647,83.50000000000001,0.25703022889726085
1306893623.95,1.9886582,6.9630943,-3.28084,-1.0,-0.3,-1.0,964300.5886004,-23443.1109864,-1.0,88.6737540042431,1351.5529492133342,1351.5529492133342,294.2731904666971,0.07487289091220248,3.7910071546562247,84.70000000000002,0.25685484613260645
1306893624.82,1.9890043,6.9633573,71.7847792,-1.0,-0.4,-1.0,964384.2500204,-23341.700222,-1.0,114.20286399333368,897.2523926538213,897.2523926538213,295.3888167462588,0.07658167750022966,3.7967830475344027,81.9,0.2568546930267447
1306893625.46,1.9892703,6.9635595,71.8175876,-1.0,-0.5,-1.0,964448.5544844,-23263.780272,-1.0,102.46164674411722,897.2523926538213,897.2523926538213,295.3888167462588,0.07658167750022965,3.7967830475344013,81.9,0.2568546930267447
1306893626.1,1.9895512,6.963773,71.85039599999999,-1.0,-0.6,-1.0,964516.4022556001,-23181.4968048,-1.0,108.4184279917594,1351.5529492133342,1351.5529492133342,294.2731904666971,0.07487289091220249,3.7910071546562234,84.7,0.2568548461326065
1306893626.55,1.9897601,6.9639317,71.8832044,-1.0,-0.7,-1.0,964566.8615747999,-23120.3091388,-1.0,114.94250395749805,1898.0177112720787,1898.0177112720787,296.2228975556011,0.07208143963462299,3.809380898225647,83.50000000000001,0.25703022889726085
1306893627.62,1.9902777,6.9643251,71.8832044,-1.0,-0.8,-1.0,964691.9271956001,-22968.668714,-1.0,120.00930272897743,2509.800170241965,2509.800170241965,296.23542358021297,0.07164269003547498,3.7789938687588123,84.20000000000002,0.2572056116619153
1306893628.7,1.9908326,6.9647468,71.8832044,-1.0,-0.9,-1.0,964826.0479347999,-22806.103092,-1.0,127.78419119708964,2648.2295676863946,2648.2295676863946,293.4292683677838,0.07129284824624159,3.722452993157939,84.30000000000001,0.2573809944265697
