flight id:c01
flight code:F-16A
origin:US
date:2011-06-01
from:vaziani
to:beslan
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306897445.65,4.6592167,5.2166473,9056.135460399999,-0.1,-0.9,289.9,1714859.79897,-605890.8330367999,-1.0,186.6088659081218,9740.081945265296,298.42741186105025,0.07307229472288616,3.4898912005390517,84.6,0.5295990701665338
1306897445.23,4.659539,5.2165263,9083.9569836,-0.1,-1.1,289.9,1714949.8252196,-605927.020702,-1.0,189.3025763168542,9741.597008793144,298.58777561598475,0.07061441628960038,3.562747426580356,85.39999999999999,0.5306218173231393
1306897444.81,4.6598663,5.2164031,9112.5987168,-0.1,-1.5,289.9,1715041.2622304,-605963.8645352,-1.0,187.8402314715112,9664.517458623044,296.9494977056379,0.07234655974469102,3.644326219798842,87.10000000000001,0.5316456362207771
1306897443.96,4.6605219,5.2161558,9170.5711596,-0.1,-1.9,289.9,1715224.2674856,-606037.9459024,-1.0,190.2345863370161,9369.52130895779,297.88837872155847,0.0713643626509814,3.722494050940384,87.9,0.5326688426949678
1306897443.53,4.6608579,5.2160286,9200.3939952,-0.1,-1.9,289.9,1715318.1979347998,-606076.0364548,-1.0,188.05601579954424,9412.548737198693,298.8060559661512,0.06962445021626296,3.661067198714635,86.2,0.5336178693791322
1306897442.68,4.6615126,5.2157802,9258.7601388,-0.1,-1.9,289.9,1715501.1047647998,-606150.5115228001,-1.0,187.8981534121613,9472.33291132536,298.55241591616397,0.06766662475325241,3.5881878390616753,86.4,0.53454898267747
1306897441.4,4.6624959,5.2154054,9346.949117999999,-0.1,-2.0,289.9,1715775.7766896,-606262.978718,-1.0,190.53817187141806,9322.738118614268,298.04381864733716,0.06792699575874789,3.517553616021474,85.10000000000001,0.5353828737535855
1306897440.97,4.6628311,5.2152771,9377.1656544,-0.1,-2.0,290.0,1715869.47748,-606301.4957796,-1.0,188.21764478124535,9444.655302178877,298.8496212651275,0.06737341365897953,3.5505079882466646,86.00000000000001,0.5360330377955801
1306897440.13,4.6634757,5.2150299,9435.367756,-0.1,-2.2,290.0,1716049.7268296,-606375.8068056,-1.0,187.99832718428138,9488.473505159536,298.39742101632424,0.07064404644977958,3.5333782870971095,84.80000000000001,0.5366203518813195
1306897439.71,4.6637976,5.2149061,9464.403189999999,-0.1,-2.4,290.1,1716139.6218456,-606413.0443396,-1.0,190.8024118216861,9204.600652642892,299.59255209071944,0.07134825882483614,3.64704951277105,85.9,0.5370732390204271
1306897439.28,4.6641325,5.214777,9494.4556844,-0.1,-2.7,290.1,1716233.3554443999,-606451.8566768,-1.0,186.97056465728636,9149.656155782042,299.6410562841181,0.07111665071231889,3.5827857117398754,87.0,0.5374583768157026
